rank,Protein,Bait,rep1,rep2,pi1,pi2,pi3,gamma3,gamma3_avg,FDR
1653,MBNL1,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9046384856066062
1653,MED11,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9046773531486455
1653,MED11,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9046773531486455
1653,METTL8,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.904696775040832
1653,METTL8,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.904696775040832
1653,MLEC,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9047937659068601
1653,MLEC,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9047937659068601
1653,MLXIP,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9047161890202493
1653,MLXIP,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9047161890202493
1653,MOCS1,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9048131403948725
1653,MOCS1,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9048131403948725
1653,MOSPD1,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9043068273118665
1653,MOSPD1,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9043068273118665
1653,NFAT5,TMEMV5,1.0,3.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.90426765695874
1653,NFAT5,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.90426765695874
1653,NGEF,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9041695906372472
1653,NGEF,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9041695906372472
1653,PEA15,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9049485413331444
1653,PEA15,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9049485413331444
1653,POLR2I,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9041892199714059
1653,POLR2I,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9041892199714059
1653,PSRC1,TMEMV5,1.0,3.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.904208841265698
1653,PSRC1,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.904208841265698
1653,PTER,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9043459656238044
1653,PTER,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9043459656238044
1653,PTPN14,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9042284545250622
1653,PTPN14,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9042284545250622
1653,RAB27A,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9047355950917318
1653,RAB27A,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9047355950917318
1653,RC3H2,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9044436714811857
1653,RC3H2,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9044436714811857
1653,RLIM,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9043264004705264
1653,RLIM,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9043264004705264
1653,RPS6KB2,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.90440461310043
1653,RPS6KB2,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.90440461310043
1653,SCO1,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9045411779388579
1653,SCO1,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9045411779388579
1653,SERPINB6,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9047549932601107
1653,SERPINB6,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9047549932601107
