"Genotype","cell_num","Puncta_ID","Puncta_Circularity","Puncta_Area","Intra_Puncta_Green_Intensity","Intra_Puncta_Red_Intensity","GreenRed_Ratio","Cell_Body_Area","Puncta_Count","Cell_Avg_Puncta_Green_Intensity","Cell_Avg_Puncta_Red_Intensity","Puncta_Count_Normalized_to_Cell_Area","Cell_Avg_Puncta_GreenRedRatio"
"WT","9","17","0.97774840202459801","0.423110680108661","151.43252595155701","321.28373702422101","0.47133579606035514","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","18","0.90597049067828805","0.513881829474533","211.48148148148101","353.68091168091098","0.59794428960384061","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","10","1","0.99128125187961003","0.428966883293556","25.177474402730301","75.307167235494802","0.33433038749150173","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","2","0.94451295272594205","0.461176000810478","32.387301587301501","141.888888888888","0.22825819442890785","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","3","0.99128125187961003","0.428966883293556","28.720136518771302","71.136518771330998","0.40373266804202845","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","4","0.73853775304188696","0.689567925021382","59.987261146496799","255.588110403397","0.23470286255420242","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","5","0.99128125187961003","0.428966883293556","24.552901023890701","45.126279863481201","0.54409317803660417","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","6","0.85926951183724098","0.311842819595656","24.079812206572701","126.577464788732","0.19023775082526617","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","7","0.87011475872923605","0.667607163078026","27.1315789473684","138.10087719298201","0.196462031949694","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","8","0.82834157319902502","0.414326375331318","27.996466431095399","77.508833922261402","0.36120355596079357","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","9","0.64550047474656502","0.453855746829359","32.351612903225799","150.296774193548","0.21525154532967083","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","10","0.90547250915903998","0.243032432173141","16.963855421686699","48.4156626506024","0.35037949483638081","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","11","0.99128125187961003","0.428966883293556","32.563139931740601","210.08873720136501","0.15499707583338757","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","12","0.82301605746575901","0.531450439029218","37.432506887052298","86.694214876033001","0.43177629488401631","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","13","0.76857597290726398","0.840365157032427","31.684668989546999","129.541811846689","0.24459028739728744","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","14","0.76771256709840896","1.93986730499645","25.944905660377302","78.206792452830101","0.3317474716281939","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","15","0.84955760997103802","0.166901790769506","20.447368421052602","65.184210526315795","0.31368591037545368","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"WT","10","16","0.83649071804658104","0.193254705101533","22.893939393939299","69.818181818181799","0.32790798611110983","72.786749385059494","16","30.667967424499501","114.58432304038","21.9820230126724","0.26764540393271702"
"MUT","1","1","0.90405305656437296","1.28104444669577","143.57485714285701","276.16457142857098","0.51988876198043443","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","2","0.88940660430009599","0.447999543644464","153.27450980392101","259.61437908496703","0.5903929911130118","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","3","0.50093188010388001","0.62222158839509","171.44235294117601","387.00235294117601","0.44300080254869945","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","4","0.96524579483033102","0.402613968961528","164.232727272727","335.963636363636","0.48884078363459221","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","5","0.96460001793842598","0.439215238867122","172.07","323.90333333333302","0.53123874406973326","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
